name,slug,brand,category,usage_area,price,subtitle,description,details,sensation,image_url,size,size_fl_oz,code,usage,ingredients,tips
Lube Premium Relaxing,lube-premium-relaxing,sexitive,Lubrificante ,anale,16.4,Gel Lubrificante Anale Con Jojoba E Camomilla,"Lubrificante personale a base acquosa, con estratti di jojoba che ha propietá idratanti ed emollienti che proteggono la pelle e favoriscono una scorrevolezza piú naturale e camomilla che fornisce calma, freschezza e una sensazione rilassante che contribuisce a migliorare il comfort durante l´uso.","MASSIMO COMFORT, ideale per chi cerca un'esperienza anale più fluida e piacevole.                                                                                                                                                     TEXTURE SETOSA E DURATURA, senza sensazione appiccicosa.                                                                                                                                                                                      INGREDIENTI NATURALI, che si prendono cura e proteggono la pelle.                                                                                                                                                                         SENSAZIONE RILASSANTE, perfetta per principianti ed esperti.",Rilassante,https://hkedgklpsksezxxymdgc.supabase.co/storage/v1/object/public/images/lubricante.png,130 ml,4.4 fl oz,LUB01,,,
Lube Supreme Retardante,lube-supreme-extra-time,sexitive,Lubrificante ,anale,16.4,Gel Lubrificante Anale Ritardante Con Effetto Freddo Per Relazioni Più Lunghe,"Lubrificante personale a base acquosa con Mentolo che offre un effetto rinfrescante immediato, rinfrescante e stimolante che aumenta la sensibilità e il piacere. A base in gel premium con una texture liscia e scorrevole che si assorbe rapidamente e non lascia una sensazione appiccicosa. L'effetto di ritardo sensoriale offre un maggiore senso di controllo, aiutando a prolungare i momenti intimi in modo naturale e piacevole.","Una sensazione sensoriale RITARDANTE, ideale per prolungare l'esperienza. 
Un effetto RINFRESCANTE stimolante che rinfresca e aggiunge un tocco vibrante.                                                                                                                                                                Texture setosa e lubrificazione superiore.
Ideale per l'uso in coppia o da soli.",Freddo,https://hkedgklpsksezxxymdgc.supabase.co/storage/v1/object/public/images/lubricante.png,130 ml,4.4 fl oz,LUB03,,,
Lube Intensity Hot Pleasure,lube-intensity-hot-pleasure,sexitive,Lubrificante ,anale,19.2,Gel Lubrificante Anale Con Effetto Caldo,"Lubrificante personale a base acquosa, ideale per chi cerca il piacere intenso. Il suo effetto caldo attiva la sensibilitá della pelle dal primo contatto, potenziando ogni movimento e creando una sperienza intima piú vibrante.","EFFETTO CALDO immediato.                                                                                                                                                                                                                                         TEXTURE SETOSA E DURATURA, senza sensazione appiccicosa.                                                                                                                                                                          SENSAZIONE CALDA E AVVOLGENTE, perfetta per intensificare.",Caldo,https://hkedgklpsksezxxymdgc.supabase.co/storage/v1/object/public/images/lubricante.png,130 ml,4.4 fl oz,LUB02,,,
Ibiza,ibiza,sexitive,Fragranza,,49.6,Aphrodisiac Eau de Toilette,"Una fragranza unisex, sensuale e vibrante. Come una brezza marina carica di desiderio, risveglia i sensi con una freschezza agrumata e un cuore morbido che evolve in un fondo caldo e irresistibile. Creata per sedurre, senza regole né generi.","Note di Testa: fiore di tè dolce e lime                                                                                                                                                                                                                                   Note di Cuore: ambra grigia, iris e note terrose                                                                                                                                                                                                                   Note di Fondo: cuoio, iris e vaniglia",Vibrante,https://hkedgklpsksezxxymdgc.supabase.co/storage/v1/object/public/images/fragancia.png,100 ml,3.4 fl oz,IBZ,,,
Bali Sunset Stripped,bali-sunset-stripped,sexitive,Fragranza,,53.6,Aphrodisiac Eau de Toilette,"Una fragranza femminile che gioca con i contrasti: note floreali e dolci si intrecciano in una tensione sensuale, attraversata da una vibrazione salata che risveglia e cattura i sensi.",Nota di testa: accordo salato                                                                                                                                                                                                                                                Nota di cuore: gelsomino                                                                                                                                                                                                                                                      Nota di fondo: meringa,Sensuale,https://hkedgklpsksezxxymdgc.supabase.co/storage/v1/object/public/images/fragancia.png,100 ml,3.4 fl oz,BSS,,,
Fucking Fabulous,fucking-fabulous,sexitive,Fragranza,,42.2,Aphrodisiac Eau de Toilette,"Una fragranza maschile dal carattere fresco e sofisticato. Le note agrumate donano energia e vitalità, mentre i legni nobili conferiscono profondità ed eleganza.","Note di testa: pompelmo, lime, menta e pepe rosa                                                                                                                                                                                                               Note di cuore: zenzero, vetiver e gelsomino                                                                                                                                                                                                                       Note di fondo: incenso di olibano e legno di cedro",Seduttore,https://hkedgklpsksezxxymdgc.supabase.co/storage/v1/object/public/images/fragancia.png,100 ml,3.4 fl oz,FBLS,,,
Very Sexy,very-sexy,sexitive,Fragranza,,29.2,Aphrodisiac Eau de Toilette,"Questo profumo non si indossa, si conquista. Pensato per la donna que non chiede permesso, que trasforma gli sguardi in desideri e i momenti in ricordi.Non è solo un profumo. È una dichiarazione d'intenti.","Note di Testa: mandorla, caffè, bergamotto e limone                                                                                                                                                                                                           Note di Cuore: tuberosa, gelsomino, fiore d'arancio, iris e rosa bulgara                                                                                                                                                                              Note di Fondo: cacao, vaniglia e cannella",Provocante,https://hkedgklpsksezxxymdgc.supabase.co/storage/v1/object/public/images/fragancia.png,50 ml,"1,7",PLS,,,
Petit Mort,petit-mort,sexitive,Fragranza,,29.2,Aphrodisiac Eau de Toilette,"È una fragranza floreale e legnosa, con un aroma allegro, giovanile, fresco e puro que trasmette un'indescrivibile sensazione di libertà.","Note di Testa: mela, mandarino e magnolia                                                                                                                                                                                                                          Note di Cuore: ribes bianco, peonia e gelsomino                                                                                                                                                                                                                 Note di Fondo: muschio e Amberwood",Libero,https://hkedgklpsksezxxymdgc.supabase.co/storage/v1/object/public/images/fragancia.png,50 ml,"1,7",PM03,,,
It Femme,it-femme,sexitive,Fragranza,,32.7,Aphrodisiac Eau de Toilette,"Il calore narcotico della vaniglia libera il suo istinto carnale. Un aroma orientale-floreale, provocante e selvaggio, que cattura, accelera ed esalta i sensi. Un risultato magnetico.",Note di Testa: Ylang-Ylang e vaniglia                                                                                                                                                                                                                                  Note di Cuore: Legno di sandalo                                                                                                                                                                                                                                          Note di Fondo: Popcorn,Selvaggio,https://hkedgklpsksezxxymdgc.supabase.co/storage/v1/object/public/images/fragancia.png,60 ml,2 fl oz,IT01,,,
It Femme Florale,it-femme-florale,sexitive,Fragranza,,32.7,Aphrodisiac Eau de Toilette,"Immergiti in una tentazione irresistibile con questa fragranza provocante e seducente, dal contrasto audace e affascinante. È un profumo creato per chi non passa inosservata","Note di Testa: bergamotto, agrumi e pera                                                                                                                                                                                                                            Note di Cuore: gelsomino, ylang ylang e legno di palissandro                                                                                                                                                                                             Note di Fondo: vaniglia, fava tonka e legno di cedro",Provocante,https://hkedgklpsksezxxymdgc.supabase.co/storage/v1/object/public/images/fragancia.png,60 ml,2 fl oz,IT02,,,
